DateStamp = 202212161358, File Name = REMittance.xls, RRN Column = 3, PAN Column = 0, Amount Column = 2 
DateStamp = 202301100936, File Name = valid.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301101058, File Name = Valid_Local_POS_Transaction_Not_Included_in_Clearing.xlsx, RRN Column = 1, PAN Column = 2, Amount Column = 3 
DateStamp = 202301101536, File Name = VISA_Unsettled_transaction.xlsx, RRN Column = 3, PAN Column = 0, Amount Column = 2 
DateStamp = 202301111028, File Name = dec.xls, RRN Column = 0, PAN Column = 2, Amount Column = 1 
DateStamp = 202301111055, File Name = UNP.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301111644, File Name = Andu_Wolde_juice.xlsx, RRN Column = 6, PAN Column = 3, Amount Column = 4 
DateStamp = 202301111649, File Name = TsigeWolde_juice.xlsx, RRN Column = 6, PAN Column = 3, Amount Column = 4 
DateStamp = 202301130922, File Name = Approved_POS_Transaction_Amrogn_Agricutural_and_Trading_PLC_.xlsx, RRN Column = 4, PAN Column = 2, Amount Column = 3 
DateStamp = 202301130922, File Name = Approved_POS_Transaction_Amrogn_Agricutural_and_Trading_PLC_.xlsx, RRN Column = 4, PAN Column = 2, Amount Column = 3 
DateStamp = 202301131025, File Name = RESULT.202212131109.Local_Transaction.BRIB.294013.xls, RRN Column = 1, PAN Column = 2, Amount Column = 3 
DateStamp = 202301171614, File Name = MasterCard.BRIB.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301171615, File Name = ET_Switch.BRIB.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301171615, File Name = Local_Transaction.BRIB.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301171618, File Name = Local_Transaction.BRIB.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301180925, File Name = dec.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301181006, File Name = dec.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301210721, File Name = unsettled.xlsx, RRN Column = 1, PAN Column = 2, Amount Column = 4 
DateStamp = 202301261059, File Name = Approved_MasterCard_Transactions_not_Found_in_Outgoing.xlsx, RRN Column = 2, PAN Column = 0, Amount Column = 1 
DateStamp = 202301261149, File Name = Valid_Local_POS_Transaction_Not_Included_in_Clearing.xlsx, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301270855, File Name = 9568055899463680.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301270901, File Name = 9568055899463680.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301270927, File Name = 9568058960980756.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301270949, File Name = 9568058960980756.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301271003, File Name = 9568051139253155.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301310755, File Name = VISA_USETTLED_AS_jan_26_2023.xlsx, RRN Column = 3, PAN Column = 0, Amount Column = 2 
DateStamp = 202301310918, File Name = unsettled.xlsx, RRN Column = 1, PAN Column = 2, Amount Column = 4 
DateStamp = 202301311415, File Name = Approved_MasterCard_Transactions_not_Found_in_Outgoing.xlsx, RRN Column = 3, PAN Column = 0, Amount Column = 2 
DateStamp = 202302010808, File Name = unsettled.xlsx, RRN Column = 1, PAN Column = 2, Amount Column = 4 
DateStamp = 202302281443, File Name = Part_201_Last.xlsx, RRN Column = 11, PAN Column = 5, Amount Column = 6 
DateStamp = 202302281610, File Name = Part_201_Last.xlsx, RRN Column = 11, PAN Column = 5, Amount Column = 6 
DateStamp = 202302281613, File Name = Part_201_Last.xlsx, RRN Column = 11, PAN Column = 5, Amount Column = 6 
DateStamp = 202302281709, File Name = mc.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202302281712, File Name = mc.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202302281730, File Name = svb_authorization.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202302281830, File Name = Lastest_svb_authorization.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202302281832, File Name = Lastest_svb_authorization.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202302281833, File Name = Lastest_svb_authorization.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202302281834, File Name = Lastest_svb_authorization.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202303010926, File Name = visa.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202303011043, File Name = AUT_BEOFRE_FEB_27_RESULT.202302281913.ET_Switch.AUTO_SELECT.323387.xls, RRN Column = 11, PAN Column = 5, Amount Column = 6 
DateStamp = 202303011045, File Name = AUT_BEOFRE_FEB_27_RESULT.202302281913.ET_Switch.AUTO_SELECT.323387.xls, RRN Column = 11, PAN Column = 5, Amount Column = 6 
DateStamp = 202303011046, File Name = AUT_BEOFRE_FEB_27_RESULT.202302281913.ET_Switch.AUTO_SELECT.323387.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202303011101, File Name = CBE-HB_Unsetted_POS_T.xlsx, RRN Column = 11, PAN Column = 5, Amount Column = 6 
DateStamp = 202303011445, File Name = AUT.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202303031041, File Name = Pre_aut.xlsx, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202303031043, File Name = Pre_aut.xlsx, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202303031045, File Name = Pre_aut.xlsx, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202303031137, File Name = Pre_aut.xlsx, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202303031218, File Name = Latest_YCO_result_03032023.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202303031220, File Name = Latest_YCO_result_03032023.xls, RRN Column = 0, PAN Column = 4, Amount Column = 2 
DateStamp = 202303031228, File Name = Latest_YCO_result_03032023.xls, RRN Column = 0, PAN Column = 4, Amount Column = 2 
DateStamp = 202303031233, File Name = Latest_YCO_result_03032023.xls, RRN Column = 0, PAN Column = 4, Amount Column = 2 
DateStamp = 202303031234, File Name = Latest_YCO_result_03032023.xls, RRN Column = 0, PAN Column = 4, Amount Column = 2 
DateStamp = 202303031235, File Name = Latest_YCO_result_03032023.xls, RRN Column = 0, PAN Column = 4, Amount Column = 2 
DateStamp = 202303031335, File Name = 5.xlsx, RRN Column = 0, PAN Column = 4, Amount Column = 2 
DateStamp = 202303031335, File Name = 5.xlsx, RRN Column = 0, PAN Column = 4, Amount Column = 2 
DateStamp = 202303031335, File Name = 5.xlsx, RRN Column = 0, PAN Column = 4, Amount Column = 2 
DateStamp = 202303031338, File Name = 5.xlsx, RRN Column = 0, PAN Column = 4, Amount Column = 2 
DateStamp = 202303031358, File Name = 5.xlsx, RRN Column = 0, PAN Column = 4, Amount Column = 2 
DateStamp = 202303031417, File Name = Pre_aut.xlsx, RRN Column = 0, PAN Column = 4, Amount Column = 2 
DateStamp = 202303031418, File Name = Pre_aut.xlsx, RRN Column = 0, PAN Column = 4, Amount Column = 2 
DateStamp = 202303031911, File Name = AUT.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202303081229, File Name = BOA_-_NIB_POS_Locked_T_1.xlsx, RRN Column = 11, PAN Column = 0, Amount Column = 2 
DateStamp = 202303081252, File Name = Result_aut.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202303091707, File Name = EthSwitch_Not_Found_In_Outgoing_EthSwitch_Not_Found_In_Outgoing.xlsx, RRN Column = 12, PAN Column = 8, Amount Column = 11 
DateStamp = 202303091753, File Name = Valid_Local_POS_Transaction_Not_Included_in_Clearing_Valid_Local_POS_Transaction_Not_Included_in_Clearing-4.xlsx, RRN Column = 3, PAN Column = 6, Amount Column = 4 
DateStamp = 202303091800, File Name = Unsettled_POS_2023.xlsx, RRN Column = 3, PAN Column = 6, Amount Column = 4 
DateStamp = 202303091810, File Name = Unsettled_POS_2023.xlsx, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202303111053, File Name = unsettled.xlsx, RRN Column = 6, PAN Column = 4, Amount Column = 5 
DateStamp = 202303130801, File Name = BOA_-_Hibret_POS_Locked_T_1.xlsx, RRN Column = 4, PAN Column = 0, Amount Column = 1 
DateStamp = 202303130802, File Name = BOA_-_Hibret_POS_Locked_T_1.xlsx, RRN Column = 4, PAN Column = 0, Amount Column = 1 
DateStamp = 202303130803, File Name = BOA_-_Hibret_POS_Locked_T_1.xlsx, RRN Column = 4, PAN Column = 0, Amount Column = 1 
DateStamp = 202303130810, File Name = BOA_-_Hibret_POS_Locked_T_1.xlsx, RRN Column = 4, PAN Column = 0, Amount Column = 1 
DateStamp = 202303150942, File Name = mismatched.xlsx, RRN Column = 6, PAN Column = 4, Amount Column = 3 
DateStamp = 202303150944, File Name = RESULT.202303150942.ET_Switch.NIB.886715.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202303150945, File Name = RESULT.202303150942.ET_Switch.NIB.886715.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202303161626, File Name = CBE_Unsettled_pos_2_second_batched_request.xlsx, RRN Column = 2, PAN Column = 4, Amount Column = 3 
DateStamp = 202303161710, File Name = RESULT.202303161622.ET_Switch.AIB.240690.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202303161712, File Name = RESULT.202303161622.ET_Switch.AIB.240690.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202303161714, File Name = RESULT.202303161622.ET_Switch.AIB.240690.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202303210927, File Name = Settlement_Not_Done_Transactions_Hibret.xlsx, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202303211643, File Name = except_CBE_POS_UNSETTLED_third_batch.xlsx, RRN Column = 3, PAN Column = 6, Amount Column = 4 
