DateStamp = 202212161358, File Name = REMittance.xls, RRN Column = 3, PAN Column = 0, Amount Column = 2 
DateStamp = 202301100936, File Name = valid.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301101058, File Name = Valid_Local_POS_Transaction_Not_Included_in_Clearing.xlsx, RRN Column = 1, PAN Column = 2, Amount Column = 3 
DateStamp = 202301101536, File Name = VISA_Unsettled_transaction.xlsx, RRN Column = 3, PAN Column = 0, Amount Column = 2 
DateStamp = 202301111028, File Name = dec.xls, RRN Column = 0, PAN Column = 2, Amount Column = 1 
DateStamp = 202301111055, File Name = UNP.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301111644, File Name = Andu_Wolde_juice.xlsx, RRN Column = 6, PAN Column = 3, Amount Column = 4 
DateStamp = 202301111649, File Name = TsigeWolde_juice.xlsx, RRN Column = 6, PAN Column = 3, Amount Column = 4 
DateStamp = 202301130922, File Name = Approved_POS_Transaction_Amrogn_Agricutural_and_Trading_PLC_.xlsx, RRN Column = 4, PAN Column = 2, Amount Column = 3 
DateStamp = 202301130922, File Name = Approved_POS_Transaction_Amrogn_Agricutural_and_Trading_PLC_.xlsx, RRN Column = 4, PAN Column = 2, Amount Column = 3 
DateStamp = 202301131025, File Name = RESULT.202212131109.Local_Transaction.BRIB.294013.xls, RRN Column = 1, PAN Column = 2, Amount Column = 3 
DateStamp = 202301171614, File Name = MasterCard.BRIB.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301171615, File Name = ET_Switch.BRIB.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301171615, File Name = Local_Transaction.BRIB.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301171618, File Name = Local_Transaction.BRIB.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301180925, File Name = dec.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301181006, File Name = dec.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301210721, File Name = unsettled.xlsx, RRN Column = 1, PAN Column = 2, Amount Column = 4 
DateStamp = 202301261059, File Name = Approved_MasterCard_Transactions_not_Found_in_Outgoing.xlsx, RRN Column = 2, PAN Column = 0, Amount Column = 1 
DateStamp = 202301261149, File Name = Valid_Local_POS_Transaction_Not_Included_in_Clearing.xlsx, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301270855, File Name = 9568055899463680.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301270901, File Name = 9568055899463680.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301270927, File Name = 9568058960980756.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301270949, File Name = 9568058960980756.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301271003, File Name = 9568051139253155.xls, RRN Column = 0, PAN Column = 1, Amount Column = 2 
DateStamp = 202301310755, File Name = VISA_USETTLED_AS_jan_26_2023.xlsx, RRN Column = 3, PAN Column = 0, Amount Column = 2 
DateStamp = 202301310918, File Name = unsettled.xlsx, RRN Column = 1, PAN Column = 2, Amount Column = 4 
DateStamp = 202301311415, File Name = Approved_MasterCard_Transactions_not_Found_in_Outgoing.xlsx, RRN Column = 3, PAN Column = 0, Amount Column = 2 
DateStamp = 202302010808, File Name = unsettled.xlsx, RRN Column = 1, PAN Column = 2, Amount Column = 4 
